game_id|game_name|game_info|game_size
Hacks%2FGex%20the%20Gecko%20in%20Sonic%201.zip|Gex the Gecko in Sonic 1|443.27 KB|453911
Hacks%2FGhostbusters%20%28Enhanced%20Colors%29.zip|Ghostbusters (Enhanced Colors)|351.12 KB|359551
Hacks%2FGolden%20Axe%20%28Enhanced%20Colors%29.zip|Golden Axe (Enhanced Colors)|341.28 KB|349468
Hacks%2FGolden%20Axe%20II%20%28Enhanced%20Colors%29.zip|Golden Axe II (Enhanced Colors)|330.50 KB|338437
Hacks%2FGolden%20Axe%20III%20%28Enhanced%20Colors%29.zip|Golden Axe III (Enhanced Colors)|674.24 KB|690421
Hacks%2FGolden%20Axe%20III%20%28Gryphon%20Hack%29.zip|Golden Axe III (Gryphon Hack)|867.51 KB|888335
Hacks%2FJoe%20%26%20Mac%20%28Enhanced%20Colors%29.zip|Joe & Mac (Enhanced Colors)|621.42 KB|636338
Hacks%2FKid%20Chameleon%20-%20The%20Last%20Showdown.zip|Kid Chameleon - The Last Showdown|1.07 MB|1121468
Hacks%2FKid%20Chameleon%202%20-%20Heady%20Metal%27s%20Revenge.zip|Kid Chameleon 2 - Heady Metal's Revenge|1.01 MB|1062677
Hacks%2FKid%20Chameleon%203%20-%20The%20Final%20Marathon.zip|Kid Chameleon 3 - The Final Marathon|2.92 MB|3061339
Hacks%2FKirby%20Superstar.zip|Kirby Superstar|349.27 KB|357649
Hacks%2FKirby%20Superstar%202.zip|Kirby Superstar 2|693.83 KB|710486
Hacks%2FKnuckles%27%20Emerald%20Hunt.zip|Knuckles' Emerald Hunt|1002.85 KB|1026920
Hacks%2FLion%20King%2C%20The%20%28Enhanced%20Colors%29.zip|Lion King, The (Enhanced Colors)|1.54 MB|1613125
Hacks%2FM.U.S.H.A.%20-%20Metallic%20Uniframe%20Super%20Hybrid%20Armor%20%28Level%20Select%20Enabled%29.zip|M.U.S.H.A. - Metallic Uniframe Super Hybrid Armor (Level Select Enabled)|378.06 KB|387135
Hacks%2FMetal%20Sonic%20Hyperdrive.zip|Metal Sonic Hyperdrive|584.93 KB|598969
Hacks%2FMidnight%20Resistance%20%28Enhanced%20Colors%29.zip|Midnight Resistance (Enhanced Colors)|337.29 KB|345382
Hacks%2FMighty%20Morphin%20Power%20Rangers%20-%20The%20Movie%20%28Enhanced%20Colors%29.zip|Mighty Morphin Power Rangers - The Movie (Enhanced Colors)|989.53 KB|1013278
Hacks%2FMobius%20Evolution.zip|Mobius Evolution|695.60 KB|712299
Hacks%2FMortal%20Kombat%20II%20Unlimited%20%28Enhanced%20Colors%29.zip|Mortal Kombat II Unlimited (Enhanced Colors)|3.09 MB|3244139
Hacks%2FMortal%20Kombat%20II%20Unlimited.zip|Mortal Kombat II Unlimited|3.09 MB|3243985
Hacks%2FMortal%20Kombat%20Revelations.zip|Mortal Kombat Revelations|6.31 MB|6614144
Hacks%2FNBA%20Live%2019%20Hardwood%20Classics.zip|NBA Live 19 Hardwood Classics|1.10 MB|1156912
