game_name|game_ext|game_size
Brain Lord (Japan)|.zip|707289
Brain Lord (USA)|.zip|704405
Brainies, The (Europe)|.zip|306914
Brainies, The (USA)|.zip|306885
Bram Stoker's Dracula (Europe)|.zip|766313
Bram Stoker's Dracula (USA) (Beta)|.zip|773541
Bram Stoker's Dracula (USA)|.zip|766306
Brandish (Japan)|.zip|996667
Brandish (USA)|.zip|989636
Brandish 2 - Expert (Japan)|.zip|1963552
Brandish 2 - The Planet Buster (Japan)|.zip|1948140
Brawl Brothers (USA)|.zip|935124
Brawl Brothers - Rival Turf! 2 (Europe)|.zip|938016
BreakThru! (USA)|.zip|233489
Breath of Fire (USA)|.zip|1079243
Breath of Fire (USA, Europe) (Switch Online)|.zip|1079297
Breath of Fire - Ryuu no Senshi (Japan) (Rev 1) (Switch Online)|.zip|1090338
Breath of Fire - Ryuu no Senshi (Japan) (Rev 1)|.zip|1090282
Breath of Fire - Ryuu no Senshi (Japan)|.zip|1089416
Breath of Fire II (Europe)|.zip|1746754
Breath of Fire II (USA) (Beta)|.zip|1823683
Breath of Fire II (USA)|.zip|1746791
Breath of Fire II (USA, Europe) (Virtual Console, Switch Online)|.zip|1746859
Breath of Fire II - Shimei no Ko (Japan) (Rev 1) (Virtual Console, Switch Online)|.zip|1721871
Breath of Fire II - Shimei no Ko (Japan) (Rev 1)|.zip|1721806
Breath of Fire II - Shimei no Ko (Japan)|.zip|1721759
Brett Hull Hockey (Europe)|.zip|1278335
Brett Hull Hockey (USA)|.zip|1279775
Brett Hull Hockey 95 (USA)|.zip|1156616
Bronkie the Bronchiasaurus (USA) (En,Es)|.zip|458826
Brunswick World Tournament of Champions (USA)|.zip|744496
Brutal - Paws of Fury (Europe) (En,Fr,De)|.zip|1325685
Brutal - Paws of Fury (USA) (Beta)|.zip|1316520
Brutal - Paws of Fury (USA)|.zip|1323707
Bubsy II (Europe)|.zip|1164366
Bubsy II (USA)|.zip|1163695
Bubsy II (World) (Steam)|.zip|1163717
