game_name|game_ext|game_size
Adventures of Panzer 3, The (World) (Demo 3) (Aftermarket) (Unl)|.zip|130566
Adventures of Panzer 3, The (World) (Demo 4) (Aftermarket) (Unl)|.zip|139077
Adventures of Rad Gravity, The (Europe)|.zip|145004
Adventures of Rad Gravity, The (USA)|.zip|145019
Adventures of Rocky and Bullwinkle and Friends, The (USA)|.zip|95206
Adventures of Spaceman BIT, The (World) (Demo) (2022-09-24) (Aftermarket) (Unl)|.zip|32798
Adventures of Spaceman BIT, The (World) (Demo) (2024-03-26) (Aftermarket) (Unl)|.zip|61682
Adventures of Tom Sawyer (USA)|.zip|114307
After Burner (Japan)|.zip|151769
After Burner (USA) (Unl)|.zip|126908
AfterWorld Deluxe (World) (Aftermarket) (Unl)|.zip|56994
Age of Darkness (World) (Demo) (2023-03-23T110402) (Aftermarket) (Unl)|.zip|28732
Age of Darkness (World) (Demo) (2023-03-23T110720) (Aftermarket) (Unl)|.zip|28734
Age of Darkness (World) (Demo) (2023-03-23T232225) (Aftermarket) (Unl)|.zip|29399
Age of Darkness (World) (Demo) (2023-03-24T092850) (Aftermarket) (Unl)|.zip|29404
Age of Darkness (World) (Demo) (2023-03-24T101002) (Aftermarket) (Unl)|.zip|29429
Age of Darkness (World) (Demo) (2023-03-24T102057) (Aftermarket) (Unl)|.zip|29430
Age of Darkness (World) (Demo) (2023-03-24T140316) (Aftermarket) (Unl)|.zip|30113
Ai Sensei no Oshiete - Watashi no Hoshi (Japan)|.zip|175065
Ai Senshi Nicol (Asia) (Ja) (Whirlwind Manu) (LH51) (Pirate)|.zip|85567
Ai Senshi Nicol (Asia) (Ja) (v1.0) (Kaiser) (KS-7050) (Pirate)|.zip|105381
Ai Senshi Nicol (Asia) (Ja) (v1.1) (Kaiser) (KS-7050) (Pirate)|.zip|105358
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan)|.zip|57324
Air Fortress (Europe)|.zip|86070
Air Fortress (Japan)|.zip|94925
Air Fortress (USA)|.zip|86047
AirGap 2020 Commemorative NES Cartridge (World) (Aftermarket) (Unl)|.zip|111308
Air Sea Battle (USA) (Atari Flashback) (Aftermarket) (Unl)|.zip|10936
Airball (USA) (Aftermarket) (Unl)|.zip|68542
Airball (USA) (Proto 1)|.zip|68510
Airball (USA) (Proto 2)|.zip|68993
Airboat Apocalypse (World) (Demo) (Byte-Off 2019) (Aftermarket) (Unl)|.zip|23491
Airwolf (Europe) (Acclaim)|.zip|60802
Airwolf (Japan) (Kyugo)|.zip|98607
Airwolf (USA) (Acclaim)|.zip|60831
Akagawa Jirou no Yuurei Ressha (Japan)|.zip|187362
Akai Ringo to Midori no Inko (World) (En,Ja) (Aftermarket) (Unl)|.zip|8177
Akira (Japan)|.zip|212294
Akuma-kun - Makai no Wana (Japan)|.zip|169857
Akumajou Densetsu (Japan) (Virtual Console)|.zip|246913
Akumajou Densetsu (Japan)|.zip|246876
Akumajou Densetsu (World) (Ja) (Castlevania Anniversary Collection)|.zip|246989
Akumajou Dracula (Asia) (Ja) (Kaiser) (KS-7010) (Pirate)|.zip|83027
Akumajou Dracula (Japan)|.zip|67105
Akumajou Dracula (World) (Ja) (Castlevania Anniversary Collection)|.zip|67191
Akumajou Special - Boku Dracula-kun (Japan) (Pirate)|.zip|146546
Akumajou Special - Boku Dracula-kun (Japan)|.zip|146445
Akumajou Special - Boku Dracula-kun (World) (Ja) (Castlevania Anniversary Collection)|.zip|146507
Akuma no Shoutaijou (Japan)|.zip|134184
Al Unser Jr. Turbo Racing (USA)|.zip|99011
Aladdin (Asia) (En) (A-N7) (Pirate)|.zip|207602
Aladdin (Asia) (En) (Hummer Team) (Pirate)|.zip|207602
Aladdin (Asia) (En) (NT-622) (Pirate)|.zip|209018
Aladdin (Asia) (En) (Super Game) (A-N8) (Pirate)|.zip|173861
Aladdin (Asia) (En) (Super Game) (Pirate)|.zip|174383
Aladdin (Europe)|.zip|165908
Aladdin (Russia) (Pirate)|.zip|208463
Aladdin 4 (Asia) (En) (1995) (Pirate)|.zip|207733
Aladdin 4 (Asia) (En) (1996) (Pirate)|.zip|207740
Aladdin II (Asia) (En) (Hummer Team) (Pirate)|.zip|207607
Aladdin II (China) (En) (Pirate)|.zip|127308
Aladdin III (A-N2) (Asia) (En) (Pirate)|.zip|30765
Aladdin III (Asia) (En) (Pirate)|.zip|30800
Alerio (World) (Demo) (Byte-Off 2024) (Aftermarket) (Unl)|.zip|42251
Alex DeMeo's Race America (USA)|.zip|95885
Alex Islands (World) (Aftermarket) (Unl)|.zip|21683
Alfonzo's Arctic Adventure (World) (Demo 3) (Aftermarket) (Unl)|.zip|97068
Alfonzo Game, The (World) (Demo 1) (Aftermarket) (Unl)|.zip|28317
Alfonzo Game, The (World) (Demo 2) (NESDev 2017) (Aftermarket) (Unl)|.zip|28488
Alfonzo Melee! (World) (Demo) (NESDev 2017) (Aftermarket) (Unl)|.zip|22451
Alfred Chicken (Europe)|.zip|74913
Alfred Chicken (USA)|.zip|74917
Alien 3 (Asia) (En) (Pirate)|.zip|81076
Alien 3 (Europe)|.zip|81239
Alien 3 (USA)|.zip|81198
Alien Cat 2 (World) (Demo) (Aftermarket) (Unl)|.zip|54617
Alien Nah'topsy (World) (Aftermarket) (Unl)|.zip|17727
Alien Syndrome (Japan)|.zip|107999
Alien Syndrome (USA) (Unl)|.zip|107816
Alienoids (World) (Demo) (Aftermarket) (Unl)|.zip|18843
All-Pro Basketball (USA)|.zip|115837
Allison's Amazing Activity Generator (World) (Aftermarket) (Unl)|.zip|30320
Allison of Astra - Dodgeball RPG (World) (Demo) (Aftermarket) (Unl)|.zip|38507
Allison of Astra Starring in PRGE the Game (World) (Demo) (Aftermarket) (Unl)|.zip|33745
Allison of Astra in - Timeless and Spaceless (World) (Demo) (Byte-Off 2020) (Aftermarket) (Unl)|.zip|30443
Almika - The Star Rider - Densetsu Gaiden (World) (Aftermarket) (Unl)|.zip|86550
Almika - The Star Rider - Densetsu Gaiden (World) (Beta) (Aftermarket) (Unl)|.zip|81665
Almika - The Star Rider - Densetsu Gaiden (World) (v1.1) (Aftermarket) (Unl)|.zip|86595
