game_id|game_name|game_info|game_size
bilyard.zip|Billiard|11.6K/TIA-MC1/Terminal/198?|11902
bioatack.zip|Bio Attack|34.5K/Taito SJ System/Taito Corporation/1983|35311
biomtoy.zip|Biomechanical Toy (ver. 1.0.1885, checksum 69f5e032)|6.1M/Miscellaneous/Gaelco / Zeus/1995|6379076
bionicc.zip|Bionic Commando (Euro)|1.1M/Miscellaneous/Capcom/1987|1154892
bioship.zip|Bio-ship Paladin|1.4M/NMK16/UPL (American Sammy license)/1990|1456059
birdiy.zip|Birdiy|18.2K/Pac-man/Mama Top/1983|18617
birdtry.zip|Birdie Try (Japan, revision 2, revision 1 MCU)|400.2K/DEC0/Data East Corporation/1988|409808
bishi.zip|Bishi Bashi Champ Mini Game Senshuken (ver JAA, 3 Players)|2.6M/Miscellaneous/Konami/1996 Imperfect gfx (one gfx rom bad, bad priorities)|2693368
bjourney.zip|Blue's Journey / Raguy (ALM-001 ~ ALH-001)|3.2M/Neo Geo MVS/Alpha Denshi Co./1990|3357032
bjtwin.zip|Bombjack Twin (set 1)|5.3M/NMK16/NMK/1993|5517698
bkrtmaq.zip|Bakuretsu Quiz Ma-Q Dai Bouken (Japan)|1.6M/NA-1 / NA-2/Namco/1992|1654982
blackt96.zip|Black Touch '96|1.7M/Miscellaneous/D.G.R.M./1996 Game is glitchy (very poor quality)! This is normal!|1764185
bladestl.zip|Blades of Steel (version T, Joystick)|952.9K/GX797/Konami/1987|975758
blandia.zip|Blandia|6.7M/Seta/Allumer/1992|6995271
blasted.zip|Blasted|861.7K/Miscellaneous/Bally Midway/1988|882422
blaster.zip|Blaster|210.0K/6809 System/Williams / Vid Kidz/1983|215077
blasto.zip|Blasto|2.9K/Miscellaneous/Gremlin/1978|2992
blastoff.zip|Blast Off (Japan)|744.2K/System 1/Namco/1989|762068
blazeon.zip|Blaze On (World)|1.8M/Kaneko16/A.I (Atlus license)/1992|1905180
blazer.zip|Blazer (Japan)|993.9K/System 1/Namco/1987|1017737
blazstar.zip|Blazing Star|20.6M/Neo Geo MVS/Yumekobo/1998|21596277
blkheart.zip|Black Heart|1.1M/NMK16/UPL/1991|1201719
blkhole.zip|Black Hole|10.1K/Galaxian/TDS & MINTS/1981|10362
blkpnthr.zip|Black Panther|265.8K/GX604/Konami/1987|272129
blktiger.zip|Black Tiger|1.2M/Miscellaneous/Capcom/1987|1227726
blmbycar.zip|Blomby Car (Version 1P0)|1.6M/Miscellaneous/ABM & Gecas/1994|1684466
block.zip|Block Block (World 911219 Joystick)|1.2M/Miscellaneous/Capcom/1991|1250527
blockade.zip|Blockade|1.6K/Miscellaneous/Gremlin/1976|1598
blockcar.zip|Block Carnival / Thunder & Lightning 2|1.4M/Seta/Visco/1992|1422515
blocken.zip|Blocken (Japan)|1,017.4K/Miscellaneous/Visco / KID/1994|1041826
blockgal.zip|Block Gal (MC-8123B, 317-0029)|100.1K/System 1/Sega / Vic Tokai/1987|102494
blockhl.zip|Block Hole|239.3K/GX973/Konami/1989|244996
blockout.zip|Block Out (set 1)|465.8K/Miscellaneous/Technos Japan / California Dreams/1989|476989
bloodbro.zip|Blood Bros. (World?)|3.7M/Miscellaneous/TAD Corporation/1990|3913701
bloodstm.zip|Blood Storm (v2.22)|9.9M/Miscellaneous/Strata / Incredible Technologies/1994|10370569
bloodwar.zip|Blood Warrior|12.3M/Kaneko16/Kaneko/1994|12893935
bloxeed.zip|Bloxeed (Japan) (FD1094 317-0139)|469.8K/System 18/Sega / Elorg/1989|481103
blstroid.zip|Blasteroids (rev 4)|1.0M/Miscellaneous/Atari Games/1987|1100684
blswhstl.zip|Bells & Whistles (World, version L)|1.9M/GX060/Konami/1991|2037057
bluehawk.zip|Blue Hawk|736.1K/Miscellaneous/Dooyong/1993|753780
blueprnt.zip|Blue Print (Midway)|41.9K/Miscellaneous/Zilec Electronics / Bally Midway/1982|42956
blzntrnd.zip|Blazing Tornado|14.1M/Miscellaneous/Human Amusement/1994|14762455
bmaster.zip|Blade Master (World)|2.1M/Irem M92/Irem/1991|2169006
bnstars1.zip|Vs. Janshi Brandnew Stars|17.7M/Miscellaneous/Jaleco/1997 Not currently emulated|18608613
bnzabros.zip|Bonanza Bros (US, Floppy DS3-5000-07d? Based)|1.3M/System 24/Sega/1990|1392105
bodyslam.zip|Body Slam (8751 317-0015)|618.3K/System 16A/Sega/1986|633116
bogeyman.zip|Bogey Manor|88.3K/Miscellaneous/Technos Japan/1985|90426
boggy84.zip|Boggy '84|51.6K/Miscellaneous/Kaneko/1983|52887
bombbee.zip|Bomb Bee|6.9K/Miscellaneous/Namco/1979|7084
bombjack.zip|Bomb Jack (set 1)|85.3K/Miscellaneous/Tehkan/1984|87346
bombkick.zip|Bomb Kick (set 1)|1.9M/Yun Sung 16 Bit/Yun Sung/1998|2017889
bongo.zip|Bongo|17.9K/Galaxian/Jetsoft/1983|18338
bonkadv.zip|B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin|4.9M/Kaneko16/Kaneko/1994|5161677
bonzeadv.zip|Bonze Adventure (World, rev 1)|1.8M/Taito Misc/Taito Corporation Japan/1988|1867315
boogwing.zip|Boogie Wings (Europe v1.5, 92.12.07)|11.7M/DECO IC16/Data East Corporation/1992|12270837
boomrang.zip|Boomer Rang'r / Genesis (set 1)|122.3K/Miscellaneous/Data East Corporation/1983|125260
boonggab.zip|Boong-Ga Boong-Ga (Spank'em!)|13.6M/Miscellaneous/Taff System/2001|14279857
borench.zip|Borench (set 1)|432.3K/C2/Sega/1990|442627
botanic.zip|Botanic (English / Spanish)|43.9K/Miscellaneous/Itisa/1983|44934
bottom9.zip|Bottom of the Ninth (version T)|1.0M/GX891/Konami/1989|1085483
bouldash.zip|Boulder Dash / Boulder Dash Part 2 (World)|608.6K/DEC0/Data East Corporation (licensed from First Star)/1990|623176
bounty.zip|The Bounty (set 1)|28.1K/Miscellaneous/Orca/1982|28788
bowlrama.zip|Bowl-O-Rama (Rev 1.0)|159.9K/Miscellaneous/P&P Marketing/1991|163766
boxyboy.zip|Boxy Boy (World, SB2)|265.5K/System 1/Namco/1990|271864
