game_name|game_ext|game_size
Bonkers (USA, Europe) (Beta) (1994-03-28)|.zip|593013
Bonkers (USA, Europe) (Beta) (1994-05-03)|.zip|548590
Bonkers (USA, Europe) (Beta) (1994-08-04)|.zip|572181
Bonkers (USA, Europe) (Beta) (1994-08-25)|.zip|583240
Bonkers (USA, Europe) (Beta) (1994-08-29)|.zip|591882
Bonkers (USA, Europe)|.zip|587773
Boogerman - A Pick and Flick Adventure (Europe)|.zip|1574197
Boogerman - A Pick and Flick Adventure (USA)|.zip|1574185
Boogie Woogie Bowling (Japan)|.zip|173388
Bottle Taps Race (Europe) (Sega Reactor)|.zip|42238
Bottle Taps Race (USA) (Unl)|.zip|42188
Boxing Legends of the Ring (USA)|.zip|574683
Bram Stoker's Dracula (Europe)|.zip|611337
Bram Stoker's Dracula (USA)|.zip|611367
Brave Battle Saga - Legend of the Magic Warrior (World) (Aftermarket) (Unl)|.zip|1064951
Brazooka's - Herois Nacionais (World) (Pt) (v0.1) (Demo) (Aftermarket) (Unl)|.zip|973961
Breach (USA) (Proto)|.zip|186562
Brett Hull Hockey 95 (USA)|.zip|1174074
Brian Lara Cricket (Australia)|.zip|456819
Brian Lara Cricket (Europe)|.zip|448085
Brian Lara Cricket 96 (Europe) (Rev 1)|.zip|541182
Brian Lara Cricket 96 (Europe)|.zip|548876
Brutal - Paws of Fury (Europe) (En,Fr,De)|.zip|1121430
Brutal - Paws of Fury (USA)|.zip|1113521
Bubba 'N' Stix (Europe)|.zip|549190
Bubba 'N' Stix (USA)|.zip|547771
Bubba N Stix (Europe) (Beta)|.zip|549299
Bubble and Squeak (Europe)|.zip|303534
Bubble and Squeak (USA)|.zip|303531
Bubsy II (USA, Europe)|.zip|1069384
Bubsy in - Claws Encounters of the Furred Kind (USA, Europe)|.zip|951757
Buck Rogers - Countdown to Doomsday (USA, Europe)|.zip|883517
Budokan - The Martial Spirit (Europe)|.zip|360230
Budokan - The Martial Spirit (USA) (Rev 1) (Beta) (1990-09-25)|.zip|360259
Budokan - The Martial Spirit (USA) (Unl)|.zip|359659
Bug Hunt (World) (Aftermarket) (Unl)|.zip|92819
Bugs Bunny in Double Trouble (Europe) (En,Fr,De,Es,It)|.zip|1160962
Bugs Bunny in Double Trouble (USA)|.zip|1161122
Bulls versus Blazers and the NBA Playoffs (USA, Europe)|.zip|480970
Bulls vs Lakers (World) (Pirate)|.zip|464140
Bulls vs Lakers and the NBA Playoffs (USA, Europe)|.zip|464123
Burning Force (Europe)|.zip|260937
Burning Force (Japan) (En)|.zip|260940
Burning Force (USA)|.zip|260954
Burning Force (World) (Evercade) (Aftermarket) (Unl)|.zip|262098
CDX Pro (World) (v1.8I) (Program) (Unl)|.zip|6504
CDX Pro (World) (v1.70) (Program) (Unl) [b]|.zip|45420
Cadash (USA, Korea) (En)|.zip|338112
Cadilac Dinosauro (World) (v1.0) (Aftermarket) (Unl)|.zip|2233199
Cadilac Dinosauro (World) (v1.1) (Aftermarket) (Unl)|.zip|1375626
Cadilac Dinosauro (World) (v1.2) (Aftermarket) (Unl)|.zip|1388699
Caesar no Yabou (Japan)|.zip|358114
Caesar no Yabou II (Japan)|.zip|383822
Caesars Palace (USA)|.zip|286910
Cal Ripken Jr. Baseball (USA)|.zip|433429
Caliber.50 (USA)|.zip|271784
California Games (USA, Europe)|.zip|334182
Call of Duty - Ghosts (Russia) (Aftermarket) (Unl)|.zip|595842
Canhao (Brazil) (Mega Drive 4)|.zip|72658
Cannon Fodder (Europe)|.zip|570511
Cannon Fodder (World) (Evercade) (Aftermarket) (Unl)|.zip|568696
Canon - The Legend of the New Gods (USA) (Aftermarket) (Unl)|.zip|1025625
Capoeira Boy (World) (Pt) (Aftermarket) (Unl)|.zip|147231
Captain America and the Avengers (Europe)|.zip|659380
Captain America and the Avengers (USA) (Beta)|.zip|629568
Captain America and the Avengers (USA)|.zip|650289
Captain Lang (Japan) (En,Ja)|.zip|661141
Captain Planet and the Planeteers (Europe) (Beta)|.zip|366452
Captain Planet and the Planeteers (Europe)|.zip|367755
Casanova - Love Mission (World) (En,Fr,De,It,Ru) (v5.7.9.1920) (Aftermarket) (Unl)|.zip|1437033
Cascade (World) (Aftermarket) (Unl)|.zip|257408
Castle Cat (World) (Aftermarket) (Unl)|.zip|1927218
Castle Cat 2 - The Miami Invasion (World) (Aftermarket) (Unl)|.zip|1588691
Castle Cat 3 - The Vegas Connection (World) (Aftermarket) (Unl)|.zip|2953252
Castle of Illusion Starring Mickey Mouse (USA, Europe)|.zip|398418
Castlevania - Bloodlines (USA) (Beta) (1993-08-04)|.zip|450128
Castlevania - Bloodlines (USA) (Beta) (1993-10-07)|.zip|650204
Castlevania - Bloodlines (USA) (Castlevania Anniversary Collection)|.zip|707211
Castlevania - Bloodlines (USA)|.zip|707100
Castlevania - Bloodlines (USA, Europe) (Switch Online)|.zip|707151
Castlevania - The New Generation (Europe) (Beta)|.zip|704699
Castlevania - The New Generation (Europe) (Mega Drive Mini)|.zip|706640
Castlevania - The New Generation (Europe)|.zip|706602
Cavalos &amp; Peoes (Brazil) (Mega Drive 4)|.zip|49178
Cave Story - Doukutsu Monogatari (World) (2016-02-07) (Proto) (Aftermarket) (Unl)|.zip|699742
Cave Story - Doukutsu Monogatari (World) (2016-05-30) (Proto) (Aftermarket) (Unl)|.zip|752413
Cave Story - Doukutsu Monogatari (World) (2016-06-19) (Proto) (Aftermarket) (Unl)|.zip|767891
Cave Story - Doukutsu Monogatari (World) (De) (0.8.1) (2023-10-19) (Proto) (Aftermarket) (Unl)|.zip|1568713
Cave Story - Doukutsu Monogatari (World) (De) (v0.7.0) (Aftermarket) (Unl)|.zip|1508781
Cave Story - Doukutsu Monogatari (World) (De) (v0.8.0) (Aftermarket) (Unl)|.zip|1525319
Cave Story - Doukutsu Monogatari (World) (En) (0.8.1) (2023-10-19) (Proto) (Aftermarket) (Unl)|.zip|1561256
