game_id|game_name|game_info|game_size
ctribe.zip|The Combatribes|1.7M - Beat 'em up/3p - (c)1990 Technos|1790458
cybattlr.zip|Cybattler|1.2M - Shoot 'em up/2p - (c)1993 Jaleco|1266380
cybotsu.zip|Cyberbots: Fullmetal Madness|19.2M - Fighting/2p - (c)1995 Capcom|20181403
cyvern.zip|Cyvern: The Dragon Weapons|13.1M - Shoot 'em up/2p - (c)1998 Kaneko|13780343
daioh.zip|Daioh|3.0M - Shoot 'em up/2p - (c)1993 Sammy Studios|3149136
dangseed.zip|Dangerous Seed|722.1K - Shoot 'em up/2p - (c)1989 Namco|739448
daraku.zip|Daraku Tenshi: The Fallen Angels|21.5M - Fighting/2p - (c)1998 Psikyo|22496394
darius.zip|Darius|681.3K - Shoot 'em up/2p - (c)1986 Taito|697674
dariusg.zip|Darius Gaiden|7.6M - Shoot 'em up/2p - (c)1994 Taito|7949500
darkadv.zip|Dark Adventure (also known as Devil World)|1.2M - Action/3p - (c)1987 Konami|1209358
darkmist.zip|The Lost Castle in Darkmist|341.6K - Action/2p - (c)1986 Taito|349848
darktowr.zip|Dark Tower|369.3K - Platform/2p - (c)1992 The Game Room|378122
darwin.zip|Darwin 4078|117.7K - Shoot 'em up/2p - (c)1986 Data East|120491
dassault.zip|Desert Assault (also known as Thunder Zone)|3.6M - Run and gun/4p - (c)1991 Data East|3798549
dblaxle.zip|Double Axle|4.7M - Racing/2p - (c)1990 Taito|4876437
dblewing.zip|Double-Wings|2.0M - Shoot 'em up/2p - (c)1993 Mitchell|2055656
dbreed.zip|Dragon Breed|736.3K - Shoot 'em up/2p - (c)1989 Irem|753922
dbz.zip|Dragon Ball Z|3.3M - Fighting/2p - (c)1993 Banpresto|3437449
ddcrew.zip|D.D. Crew|3.1M - Beat 'em up/4p - (c)1991 Sega|3201535
ddonpach.zip|DoDonPachi|7.5M - Shoot 'em up/2p - (c)1996 Atlus|7873158
ddp2.zip|DoDonPachi II: Bee Storm|12.3M - Shoot 'em up/2p - (c)2001 IGS|12890664
ddp3.zip|DoDonPachi DaiOuJou (also known as DoDonPachi III)|17.8M - Shoot 'em up/2p - (c)2002 AMI|18646889
ddragon2.zip|Double Dragon II: The Revenge|730.9K - Beat 'em up/2p - (c)1988 Technos|748422
ddragon3.zip|Double Dragon 3: The Rosetta Stone|1.8M - Beat 'em up/3p - (c)1990 Technos|1853778
ddragonu.zip|Double Dragon|522.0K - Beat 'em up/2p - (c)1987 Taito|534496
ddribble.zip|Double Dribble|350.2K - Sports/2p - (c)1986 Konami|358619
ddsomu.zip|Dungeons & Dragons: Shadow Over Mystara|16.2M - Beat 'em up/4p - (c)1996 Capcom|16967122
ddtodu.zip|Dungeons & Dragons: Tower of Doom|10.3M - Beat 'em up/4p - (c)1994 Capcom|10765002
ddux.zip|Dynamite Dux|541.1K - Beat 'em up/2p - (c)1989 Sega|554093
deadang.zip|Dead Angle (also known as Gang Hunter)|751.5K - Gallery shooter/2p - (c)1988 Seibu Kaihatsu|769531
deadconx.zip|Dead Connection|1.8M - Run and gun/2p - (c)1992 Taito|1939278
defender.zip|Defender|22.9K - Shoot 'em up/2p - (c)1980 Williams Electronics|23414
demonwld.zip|Demon's World (also known as Horror Story)|435.0K - Shoot 'em up/2p - (c)1989 Taito|445425
denjinmk.zip|Denjinmakai|4.0M - Beat 'em up/2p - (c)1994 Banpresto|4233646
desertbr.zip|Desert Breaker|3.4M - Run and gun/3p - (c)1992 Sega|3609160
devstors.zip|Devastators (also known as Garuka)|624.9K - Shooter (TPS)/2p - (c)1988 Konami|639925
dharma.zip|Dharma Dojo|1.1M - Puzzle/2p - (c)1994 Metro|1200431
digdug.zip|Dig Dug|27.8K - Action/2p - (c)1982 Atari|28481
digdug2.zip|Dig Dug II|35.1K - Action/2p - (c)1985 Namco|35952
dimahoou.zip|Dimahoo|13.9M - Shoot 'em up/2p - (c)2000 Capcom|14623628
dino.zip|Cadillacs and Dinosaurs|3.9M - Beat 'em up/3p - (c)1993 Capcom|4116096
dinorex.zip|Dino Rex|5.4M - Fighting/2p - (c)1992 Taito|5630448
djboy.zip|DJ Boy|1.5M - Beat 'em up/2p - (c)1989 Kaneko|1539857
dkong.zip|Donkey Kong|21.8K - Platform/2p - (c)1981 Nintendo|22302
dkong3.zip|Donkey Kong 3|41.5K - Shooter/2p - (c)1983 Nintendo|42504
dkongjr.zip|Donkey Kong Jr.|29.9K - Platform/2p - (c)1982 Nintendo|30651
dmnfrnt.zip|Demon Front|21.8M - Run and gun/2p - (c)2002 IGS|22900854
docastle.zip|Mr. Do!'s Castle (also known as Mr. Do! vs. Unicorns)|34.8K - Action/2p - (c)1983 Taito|35597
dogyuun.zip|Dogyuun|2.8M - Shoot 'em up/2p - (c)1992 Toaplan|2892442
dondokod.zip|Don Doko Don|945.8K - Platform/2p - (c)1989 Taito|968497
donpachi.zip|DonPachi|4.6M - Shoot 'em up/2p - (c)1995 Atlus|4846905
dotron.zip|Discs of Tron|65.8K - Action/1p - (c)1983 Bally/Midway|67409
dowild.zip|Mr. Do!'s Wild Ride|42.6K - Action/2p - (c)1984 Universal|43654
dragnblz.zip|Dragon Blaze|15.9M - Shoot 'em up/2p - (c)2000 Psikyo|16713106
drakton.zip|Drakton|17.1K - Action/2p - (c)1985 Epos Corporation|17544
dreamwld.zip|Dream World|1.9M - Platform/2p - (c)2000 SemiCom|2007956
drgnbstr.zip|Dragon Buster|58.9K - Role-playing/1p - (c)1985 Namco|60346
drgnmst.zip|Dragon Master|5.4M - Fighting/2p - (c)1994 Unico|5627969
drgnunit.zip|Dragon Unit (also known as Castle of Dragon)|1.7M - Platform/2p - (c)1989 SETA Corporation|1821007
drifto94.zip|Drift Out '94: The Hard Order|20.4M - Racing/1p - (c)1994 Visco|21399827
driftout.zip|Drift Out|1,002.9K - Racing/2p - (c)1991 Visco|1026944
dsaber.zip|Dragon Saber: After Story of Dragon Spirit|1.9M - Shoot 'em up/2p - (c)1990 Namco|1979632
dspirit.zip|Dragon Spirit|1.0M - Shoot 'em up/2p - (c)1987 Namco|1099265
dstlku.zip|Darkstalkers: The Night Warriors (also known as Vampire: The Night Warriors)|14.3M - Fighting/2p - (c)1994 Capcom|15005346
dtfamily.zip|Diet Family|4.0M - Shoot 'em up/2p - (c)2001 SemiCom|4237482
dualaslt.zip|Dual Assault (also known as Liberation)|62.7K - Shoot 'em up/2p - (c)1984 Data East|64230
dungeonm.zip|Dungeon Magic (also known as Light Bringer)|7.6M - Beat 'em up/4p - (c)1993 Taito|7969340
dunkshot.zip|Dunk Shot|300.2K - Sports/4p - (c)1987 Atari|307386
dyger.zip|Dyger|244.0K - Shoot 'em up/2p - (c)1989 Philko|249852
dynablst.zip|dynablst|364.1K|372842
dynagear.zip|Dyna Gear|6.0M - Platform/2p - (c)1994 Sammy Studios|6263138
dyndukeu.zip|Dynamite Duke|1.7M - Gallery shooter/1p - (c)1989 Fabtek|1777921
dynwar.zip|Dynasty Wars (also known as Tenchi wo KuraU)|2.1M - Beat 'em up/2p - (c)1989 Capcom|2193606
eaglshot.zip|Eagle Shot Golf|6.4M - Sports/2p - (c)1995 Sammy Studios|6670341
earthjkr.zip|U.N. Defense Force: Earth Joker|721.1K - Shoot 'em up/2p - (c)1993 Visco|738453
ecofghtr.zip|Eco Fighters|7.6M - Shoot 'em up/2p - (c)1993 Capcom|8008954
edf.zip|Earth Defense Force|1.1M - Shoot 'em up/2p - (c)1991 Jaleco|1166516
edrandy.zip|The Cliffhanger: Edward Randy|3.5M - Platform/2p - (c)1990 Data East|3704725
eightfrc.zip|Eight Forces|2.8M - Shoot 'em up/2p - (c)1994 Tecmo|2973386
elevator.zip|Elevator Action|36.2K - Action/2p - (c)1983 Taito|37041
elim2.zip|Eliminator|21.9K - Shoot 'em up/4p - (c)1981 Sega|22379
elvactr.zip|Elevator Action II (also known as Elevator Action Returns)|7.8M - Action/2p - (c)1994 Taito|8186906
empcityu.zip|Empire City: 1931 (also known as Street Fight)|228.3K - Gallery shooter/2p - (c)1986 Seibu Kaihatsu|233810
endurord.zip|Enduro Racer|117.3K - Racing/1p - (c)1986 Sega|120116
enforce.zip|Enforce|2.2M - Rail shooter/2p - (c)1989 Taito|2276602
eprom.zip|Escape from the Planet of the Robot Monsters|727.9K - Action/2p - (c)1989 Atari|745403
esb.zip|Star Wars: The Empire Strikes Back|76.8K - Rail shooter/1p - (c)1985 Atari|78595
esckids.zip|Escape Kids|1.0M - Sports/4p - (c)1991 Konami|1049183
espgal.zip|Espgaluda|17.3M - Shoot 'em up/2p - (c)2003 Cave|18191161
